,Session,Question,Question from,Party,Date Dated,Date Answered
881,2017-2018,"To ganger har det norske folk gjennom folkeavstemning sagt nei til norsk medlemskap i EU. Det har vært et klokt valg som har tjent norsk økonomi og det norske demokratiet godt. Vi har kunnet beholde norsk selvstendighet og handlefrihet på viktige områder innenfor fiskeripolitikk, landbrukspolitikk og handelspolitikk. Vi har beholdt den norske kronen og en selvstendig pengepolitikk. 
For snart to år siden sa flertallet i Storbritannia det samme som flertallet i Norge har sagt to ganger, at de ikke ville være med i EU. Britene ville ut av EU for å gjenvinne nasjonal råderett og styrke demokratiet. Som et land som har valgt å stå utenfor EU, bør vi ha stor forståelse og heie på britene i prosessen. 
Brexit gir store utfordringer, men også store muligheter til å forsterke samarbeidet med en viktig alliert og vår nærmeste handelspartner. I møte med dette har regjeringen opptrådt særdeles uklokt. Først advarte Erna Solberg britene mot å gå ut av EU. Så fulgte ikke britene Erna Solbergs råd, men valgte likevel å gå ut. Så ville ikke Norge være med på å sende invitasjon til britene om å bli med i EFTA igjen. En har stilt seg negativ til å starte forhandlinger med Storbritannia om en ny avtale etter brexit, og en har lagt fram en europastrategi på 26 sider der ordet brexit er nevnt én gang. 
Alle initiativ fra Senterpartiet om en mer positiv holdning overfor Storbritannia, f.eks. gjennom å invitere britene tilbake til EFTA, har blitt avvist. Så kan en plutselig denne uken lese i britiske medier at den norske statsministeren ikke bare er positiv til at britene skal inn igjen i EFTA, men til at britene også skal inn i EØS. Derfor er det grunn til å spørre: 
Hva er det som er Norges strategi? Er det å advare britene mot å gå inn i EØS, eller er det å invitere dem inn? ",Sigbjørn Gjelsvik,Senterpartiet,2018-05-16,2018-05-16
882,2017-2018,"Mitt spørsmål går til utenriksministeren. En 70-årsdag burde være en festdag. Markeringen nå på mandag av Israels 70-årsdag som selvstendig stat ble dessverre ingen fest. På Gaza ble 40 000 demonstranter ved grensemuren møtt med tåregass og skarp beskytning, og over 60 palestinere ble drept og opp mot 3 000 skadet på grunn av skudd løsnet av israelske soldater. Mandag ble den blodigste dagen i konflikten siden den forrige Gaza-krigen i 2014. 
Etter demonstrasjonene i påsken kunne uavhengige medierapporter fortelle om ubevæpnede demonstranter som ble skutt i ryggen på flere hundre meters hold. Hamas er overhodet ingen uskyldig part i denne konflikten. 
For 70 år siden var Norge blant de første til å anerkjenne Israel. Vi ønsker samarbeid med Israel og støtter Israels framtid som et liberalt demokrati, men det å være et liberalt demokrati er dypt uforenlig med okkupasjon av israelsk land. Nå er det dessverre den sterkestes rett som gjelder. Utenriksministeren sa i spørretimen i stad, og hun har også sagt i mediene, at hun er bekymret for en voldsspiral. 
Men når ubevæpnede demonstranter er blitt skutt i ryggen, hvordan kan utenriksministeren forklare at det utgjør en voldsspiral? Hvem bærer det tyngste ansvaret for den situasjonen vi nå står i? ",Anniken Huitfeldt,Arbeiderpartiet,2018-05-16,2018-05-16
883,2017-2018,"Da vi leste revidert nasjonalbudsjett i går, fikk MDG et slags déjà vu. Regjeringens karbonfangstpolitikk har glidd inn i et mønster vi kjenner igjen fra den rød-grønne regjeringens tid. Det kommer stadig nye forsinkelser. For to år siden sa statsråd Søviknes at en investeringsbeslutning skulle tas våren 2019, men regjeringen utsetter nå investeringsbeslutningen for Norges satsing på karbonfangst og -lagring med opptil to år. Videre: Prosjektering av karbonfangst og -lagring ved Yara kuttes, prosjektet ved Norcem videreføres, mens forbrenningsanlegget på Klemetsrud settes på vent. Så tidsfrister settes og skyves på når det nærmer seg. Nå har det gått nesten fem år siden regjeringen overtok, og vi aner fortsatt ikke om og når vi vil få se et prosjekt som virker. 
For oss i Miljøpartiet De Grønne er det merkelig å se at en regjering som er så fanatisk begeistret for enda mer olje og gass, gjør en så halvhjertet jobb med karbonfangst, som er den eneste teknologien som kanskje kunne gjort olje og gass litt mer bærekraftig i noen flere år. 
Norsk Industri, ja Norsk Olje og Gass, NHO, LO, NTNU, SINTEF, Norcem, Fortum og en lang rekke tunge industriaktører er svært utålmodige med å komme i gang. Men regjeringens utsettelse skaper ustabile og uforutsigbare rammevilkår for industriaktører. Man tvinges til å omprioritere ressurser, man mister kompetanse, og interne prosjektorganisasjoner svekkes. 
Statsrådens parti liker å framstille seg som industriens venn. I lys av dette: Etter 20 år med utredninger – er statsråden fornøyd med framdriften i den norske CCS-satsingen? ",Per Espen Stoknes,Miljøpartiet De Grønne,2018-05-16,2018-05-16
884,2017-2018,"Audun Lysbakken nemnte at president Trump den 8. mai trakk USA frå atomavtala med Iran. USA er vår viktigaste allierte, ein sentral handelspartnar, ei stormakt som Noreg har hatt stabile og gode relasjonar til over lang tid – relasjonar som har vore og framleis er veldig viktige for Noreg. No erfarer me ein amerikanske administrasjon som har lagt seg på ei ny, meir konfronterande og mindre føreseieleg utanrikspolitisk linje. President Trump har trekt USA ut av atomavtala med Iran. Dette skjedde trass i at Iran har halde seg til vilkåra i avtala, trass i kor avgjerande avtala er når det gjeld ikkje-spreiing av atomvåpen, og trass i sterke åtvaringar frå viktige allierte og avtalepartnarar, som Storbritannia, Frankrike og Tyskland. 
I tillegg veit me at president Trump i fjor òg valde å trekkje USA ut av den veldig viktige Paris-avtala, klimaavtala. USA har under denne administrasjonen òg hoppa av handelsavtaler og innført handelshindringar på bl.a. stål og aluminium. 
Mitt spørsmål er: Korleis vurderer utanriksministeren denne utviklinga hos vår viktigaste allierte, og kva strategi har Noreg og regjeringa i møte med ein amerikansk utanrikspolitikk som vi i beste fall kan seie er i endring?",Knut Arild Hareide,Kristelig Folkeparti,2018-05-16,2018-05-16
885,2017-2018,"Det er sjokkerende meldinger og bilder som kommer fra Gaza disse dagene. 55 mennesker er rapportert drept og over 2 200 skadde etter at israelske militære åpnet ild med både skarp ammunisjon og gummikuler mot demonstranter i forbindelse med USAs ambassadeåpning i Jerusalem. Israels voldsbruk er kraftig fordømt verden over. Det har kommet tydelige protester, bl.a. fra FNs høykommissær for menneskerettigheter og Amnesty International. Den israelske okkupasjonen av de palestinske områdene opprettholdes med brutal vold og undertrykking. Det finnes ingen unnskyldning for å drepe sivile på denne måten. Alle stater har en rett til å forsvare seg selv, men det er en hån å bruke det som argument for å tillate en okkupantmakt å skyte ubevæpnede sivile. 
En viktig grunn til den situasjonen vi er i akkurat nå, er USAs uansvarlige og farlige politikk i Midtøsten. Med både oppsigelsen av Iran-avtalen og åpningen av ambassaden i Jerusalem ser vi nok en gang at USA i denne regionen oppfører seg som en elefant i en glassbutikk, der noe blir knust overalt hvor de snur seg. 
Den svenske utenriksministeren Margot Wallström var i går veldig tydelig på at USA bærer et stort ansvar for det som har skjedd de siste dagene, og hun kommuniserte det tydelig: 
«Alle advarte mot dette, men USA gjorde det likevel. Jeg mener at USA bærer et veldig stort ansvar, og jeg kan ikke se at det er stor grunn til å feire når man ser så mange døde og sårede mennesker». 
Mitt spørsmål er om Norges utenriksminister er like klar som Sveriges utenriksminister på det ansvaret USA har for det som har skjedd de siste dagene?",Audun Lysbakken,Sosialistisk Venstreparti,2018-05-16,2018-05-16
886,2017-2018,"2,9 mill. liter vann i sekundet er mye vann, men det er vannmassene som akkurat nå passerer Solbergfoss i Glomma, mens vi står her – vann fra Jotunheimen, fra Rørosvidda, fra Rondane og fra mange andre steder på Østlandet etter en svært snørik vinter. Vårflom er ikke uvanlig i Norge, men klimaendringer – med ekstremvær som kraftigere og hyppigere styrtregn – vil gjøre flom og skred mer vanlig, ikke bare nå, når det nær er sesong for flom, men også ellers i året. 
Lokalsamfunn, bedrifter og enkeltmennesker vil oftere stå maktesløse når vannet trenger inn og gjør skade. Forsikringsbransjen frykter at utbetalingene etter denne flommen vil overstige 0,5 mrd. kr. Dette er ikke unntaket, dette er den nye virkeligheten. 
Samtidig sier NVE at de trenger 200 mill. kr ekstra i satsing hvert år de neste fire årene for å redusere faren for tap av menneskeliv og skader på bebyggelse og infrastruktur. Enhver som kan regne, ser at fire år med den type bevilgninger raskt vil lønne seg, sammenlignet med forsikringsselskapenes utbetalinger. Den samfunnsmessige prisen for ødeleggelsene er enorme, og dette problemet går ikke over. 
Senterpartiet har løftet inn disse bevilgningene i sitt alternative budsjett, men mens vannet flommer inn over folks jorder, inn i hus og ned i kjellere, gjør regjeringen ingenting – ingenting for å ta konkrete grep for å dempe framtidige skader. 
Hva er forklaringen på at regjeringen nekter å ta inn over seg hvor store utfordringer vi har, og hvor mye det koster oss ikke å gjøre noe? Hvorfor vil ikke regjeringen investere i bedre flom- og skredsikring? ",Ole André Myhrvold,Senterpartiet,2018-05-16,2018-05-16
887,2017-2018,"Regjeringen la fram for Stortinget forslag om pliktsystemet for torsketrålere i Nord-Norge i mars 2017. Saken skapte masse debatt og engasjement langs hele kysten. Statsråden valgt å trekke saken før den var ferdigbehandlet, siden han ikke fikk flertall for sitt syn. Siden i høst har fiskeriministeren varslet at han vil legge fram en ny sak for Stortinget om endringer i pliktsystemet, noe regjeringen anser som så pass viktig at det også står i Jeløya-erklæringen. Arbeiderpartiet har vært og er positive til det, da vi lenge har tatt til orde for at pliktene må justeres for å sikre at de fungerer i tråd med forutsetningene. 
På bakgrunn av de forventningene fiskeriministeren selv har skapt i fiskerinæringen og i det politiske miljøet om at man kunne vente meldingen denne våren, sendte jeg i forrige uke et skriftlig spørsmål til statsråden om når vi kan forvente å få pliktmeldingen til Stortinget. Det ville statsråden ikke svare på, men viste til at det har vært sonderinger på Stortinget for å få på plass bred støtte til forslaget. 
Når det sonderes, må det også kunne forventes at man har forslag som er justert i tråd med hvor flertallet antakeligvis ligger, et flertall som det burde være godt kjent ikke går i retning av at man ønsker å avvikle systemet. 
Spørsmålet til statsråden er om han og regjeringen har justert egen politikk i saken, om han vil avvikle pliktene, eller om han har en oppfatning av at flertallet på Stortinget har snudd i hans favør?",Cecilie Myrseth,Arbeiderpartiet,2018-05-16,2018-05-16
888,2017-2018,"I en sterk artikkel i iTromsø beskriver kommentator Egon Holstad hva som skjedde da sjarken 'Kristine' gikk ned, hvor mannen ombord først ble funnet et år etter. Fra ulykken skjedde og til hevingen har det blitt avdekket stor svikt hos Hovedredningssentralen, Havarikommisjonen og politiet, som har nektet å heve sjarken med begrunnelsen at den omkomne 'ikke var i aktivt fiske'. 'Hvorfor var det ingen som hjalp pappa?', spør datteren. 
Hvordan vil statsråden sikre at tilsvarende aldri skjer igjen?",Torgeir Knag Fylkesnes,Sosialistisk Venstreparti,2018-05-16,2018-05-23
889,2017-2018,"Stortinget har i anmodningsvedtak nr. 581 av 5. april 2018 vedtatt at avdeling Osterøy ved Bergen fengsel skal innlemmast i den pågåande KVU-en for Kriminalomsorgen region vest. I revidert nasjonalbudsjett kjem det fram at regjeringa ikkje vil rette seg etter Stortinget si vilje, men vil gå inn for at fengselsdrifta vert lagt ned frå juni 2019.
Er dette ein feil, eller kva har endra seg frå april som kan forklare at regjeringa handlar stikk i strid med stortingsfleirtalet?",Kjersti Toppe,Senterpartiet,2018-05-16,2018-05-23
890,2017-2018,"Det er satt inn en rekke hastetiltak for å avhjelpe den pågående krisen i luftambulansetjenesten, deriblant et ekstra fly hentet inn fra selskapet Babcock.
Kan jeg be om en oversikt over samtlige hastetiltak som er satt inn, og hva disse tiltakene hver for seg beløper seg til hittil?",Bjørnar Moxnes,Rødt,2018-05-16,2018-05-23
891,2017-2018,"Regjeringa sende i haust på høyring eit framlegg om at vassforvaltingsplanane ikkje lenger skal vedtakast etter plan- og bygningslova, og at oppgåvene blir flytte frå fylkeskommunane til fylkesmennene.
Vil regjeringa legge eventuelle endringar i heimel for vassforskrifta og endringar i lover som følgje av dette fram for Stortinget, og vil regjeringa avvente vedtak om saka, slik at ho kan sjåast i samanheng med regionreforma?",Tore Storehaug,Kristelig Folkeparti,2018-05-16,2018-05-23
892,2017-2018,"Maskinentreprenørenes Forbund har gjort oss oppmerksomme på utfordringene med å tipse a-krimsentrene med bekymringsmeldinger. Målet med sentrene må være å styrke samarbeidet mellom arbeidslivet og etatene som jobber med sosial dumping og arbeidslivskriminalitet.
Hvorfor har ikke regjeringen prioritert å gjøre det enkelt for publikum å tipse a-krimsentrene om useriøsitet, sosial dumping og arbeidslivskriminalitet?",Arild Grande,Arbeiderpartiet,2018-05-14,2018-05-23
893,2017-2018,"Indre Østfold politistasjon er politistasjon for seks kommuner og nær 47 500 innbyggere. Den siste tiden har vi fått meldinger fra innbyggere i det tidligere Follo politidistrikt som ikke når politiet på telefon. I Smaalenenes Avis 8. mai 2018 kunne vi nok en gang lese om en innbygger som måtte gjøre vendereis da han skulle levere en anmeldelse i politiets kontortid.
Mener statsråden dette er godt nok, og har politistasjonen god nok dimensjonering for området den skal betjene?",Ole André Myhrvold,Senterpartiet,2018-05-14,2018-05-23
894,2017-2018,"Mitt spørsmål går til justisministeren. 
På søndag kunne me sjå på TV2 at tillitsvalde i norske fengsel slo alarm. Me har over fire år fått eit kutt i norsk kriminalomsorg på over 200 mill. kr, og tillitsvalde frå NFF, Norsk Fengsels- og Friomsorgsforbund, og andre forbund seier no at dei ikkje lenger er i stand til å utføre sitt samfunnsoppdrag. Dette er alvorleg. Samtidig har regjeringa brukt nesten 1 mrd. kr på å leige fengselsplassar i Nederland. Eg er bekymra for samfunnssikkerheita, at me no kjem til å sjå ein vekst i gjengangarar, og at norske fengsel ikkje lenger evnar å levere ei straff som verkar. 
Det har vore ei systematisk nedbygging av innhaldet i norsk kriminalomsorg i den tida som denne regjeringa har styrt. Til TV2 seier justisministeren sin statssekretær at ein snakkar mykje med dei tilsette, men det hjelper ikkje å snakke viss ein ikkje lyttar. Her på Stortinget har me lese Sivilombodsmannens rapportar om bruk av isolasjon. Me har òg registrert tilbakemeldingane frå institusjonen for menneskerettar, òg det som står i rapporten frå i år, som ikkje er bra. 
Mitt spørsmål til justisministeren er: Korleis stiller justisministeren seg til at dei tillitsvalde no slår alarm på den måten dei gjer, og at dei meiner at dei no ikkje er i stand til å utføre det samfunnsoppdraget som er å forhindre ny kriminalitet? 
",Lene Vågslid,Arbeiderpartiet,2018-05-09,2018-05-09
895,2017-2018,"Mitt spørsmål går til næringsministeren. 
Norske sjøfolk er grunnmuren i den maritime næringa i Noreg. I ein slik situasjon er det eit paradoks at næringsministeren og regjeringa no jobbar for å endra regelverket for at Color Line skal få lov til å byta ut minst 685 av sine norske sjøfolk på Kiel-ferja med utanlandsk arbeidskraft. Det skal skje ved at ein opnar for at ein kan flytta skipa frå Norsk Ordinært Skipsregister til Norsk Internasjonalt Skipsregister. 
Når me utfordrar statsråden, vert me møtte med at dette følgjer av Fartsområdeutvalet som leverte rapporten sin i 2014, som viser at det norske skipsregisteret ikkje er konkurransedyktig. Sidan den tida har det skjedd mykje. Kronekursen for danske kroner har endra seg. Stortinget har betra ordningane, og i dag seier Fjord Line at dei meiner det er betre vilkår i det norske registeret enn i det danske registeret, som eg antek er det statsråden fryktar at Color Line skal byta til. Fjord Line er heilt tydeleg på dette, at det norske skipsregisteret er konkurransedyktig. 
Det er jo veldig spesielt at i ei så alvorleg sak vert me berre blankt viste til fire år gamle tal frå Fartsområdeutvalet. Dei vert lagde på borde, dei vert ikkje kvalitetssikra eller avviste i det heile. Mitt spørsmål er: Vil statsråden føreta ei fornya vurdering av konkurranseulempene som Color Line har med å vera eit reiarlag registrert i Norsk Ordinært Skipsregister? 
",Geir Pollestad,Senterpartiet,2018-05-09,2018-05-09
896,2017-2018,"Spørsmålet mitt går til arbeidsministeren. 
Samanhengen mellom eit organisert og seriøst arbeidsliv på den eine sida og verdiskaping på den andre sida er ganske grundig dokumentert. Og statsråden og eg har hatt gleda av å diskutera det ved fleire anledningar. 
No er Arbeidarpartiets meining at nettopp fordi samfunnsgevinsten er så stor, er det òg ei felles oppgåve å bidra til at organisasjonsgraden aukar, at det ikkje berre er ei oppgåve for organisasjonane, men òg for politikarane. Eitt av fleire verkemiddel, som me ønskjer å ta i bruk, er å dobla frådraget for fagforeiningskontingenten. Det er noko som Høgre har avvist fleire gonger. Dei har pleidd å seia at det ikkje har den nødvendige effekten som ein er ute etter. 
Så er det slik at i ein nyleg publisert forskingsartikkel, som er skrive av forskarar frå Institutt for samfunnsforskning, ISF, og finansiert av Noregs forskingsråd, som nettopp viser korleis det norske skattefrådraget for fagforeiningskontingenten påverkar medlemskap i fagorganisasjonane. Dei har teke for seg perioden 2001-2012, og då viser det seg at auken i skattefrådraget for fagforeiningskontingenten i den perioden førte til at organisasjonsgraden vart signifikant høgare enn det han elles ville vore. 
Dette er ei undersøking som er gjort på firmanivå i industrien. Om vi legg til grunn same effekten i heile arbeidslivet, betyr det 75 000 fleire fagorganiserte nordmenn - 75 000 fleire vanlege arbeidsfolk som står stødigare og er tryggare. 
Skattefrådraget ligg hos finansministeren, og organisasjonsgraden ligg hos arbeidsministeren, så eg vil tru at desse tala er interessante for henne òg. Og spørsmålet mitt er: Kva er det regjeringa vil gjera av nye tiltak for å få organisasjonsgraden opp? Har ho nokre tiltak som vil få 75 000 fleire inn i det organiserte arbeidelivet? - Det har Arbeidarpartiet. 
",Hadia Tajik,Arbeiderpartiet,2018-05-09,2018-05-09
897,2017-2018,"De siste dagene har det gått en stor diskusjon rundt hvorvidt Oslo er utrygg eller ikke. Mange hendelser i Groruddalen har ført til at politikere leide buss for en sightseeingtur for dem som ikke hadde vært der før. Justisministeren forteller at 30 nye politifolk skal settes inn i Groruddalen. Veldig mye gjøres for å framstille Oslo og Groruddalen som utrygge og farlige steder. 
Samtidig har UNE sett bort fra at Høyesterett har slått fast at Farida og familien har blitt fratatt flyktningstatusen på feil grunnlag. UNE begrunner det urimelige avslaget med at det er trygt i distriktet hun kommer fra. Ifølge vår nåværende regjering er det altså svært utrygt i Groruddalen, mens det er helt trygt i Kabul. Afghanistan regnes som trygt nok til at en familie, som har levd lenge i Norge, helt uriktig har blitt fratatt flyktningstatusen - samtidig som man utmaler i det vide og det brede hvor farlig Groruddalen er. 
Jeg vet at justisministeren ikke kan instruere UNE, men er justisministeren bekymret over at denne nemnden, som er underlagt justisministeren, synes å overprøve Høyesteretts beslutning? 
",Per Espen Stoknes,Miljøpartiet De Grønne,2018-05-09,2018-05-09
898,2017-2018,"Justisministeren kan bli stående, ja - men jeg skal løfte blikket litt, for overgrep mot barn er noe av den mest grusomme kriminaliteten som finnes. Hva voksne kan få seg til å gjøre mot barn og unge, er for meg helt uforståelig. Det er flere mennesker som lever i slaveri i verden i dag enn noen gang. FN anslår det til å være 27 millioner, og veldig mange av dem er barn - barn som blir utnyttet og seksuelt misbrukt. Ifølge Redd Barna er en tredjedel av alle som selger sex i Asia, barn. 
Det noen omtaler som sex-turisme, handler om hvite menn som reiser til Thailand, Kambodsja eller Filippinene og begår overgrep mot barn. Det har ingenting med sex å gjøre, det er overgrep, og det er menneskehandel. 
Kristelig Folkeparti har i lang tid, gjennom ulike initiativ og gjennom bidrag i budsjettene sørget for en større innsats for å bekjempe vold, overgrep og menneskehandel. Barn som bor på den andre siden av jordkloden, og da spesielt i land uten særlig gode rettssystemer, er spesielt sårbare. Vi mener at politikere også her i Norge har et spesielt ansvar for å beskytte dem. Vi kan ikke se på at uskyldige barn blir utnyttet på det groveste av norske borgere. 
Hvis man tar et kjapt søk på google med ordene «misbruk av barn Filippinene nordmenn», dukker det opp 17 100 treff på 0,19 sekunder. Hvis man bytter ut Filippinene med Thailand, er det 20 900 treff. Omfanget er enormt. Ifølge Kripos reiste det mellom januar 2013 og april 2014 400 nordmenn som er domfelt for overgrep mot barn, til risikofylte regioner. 
Hvilke konkrete tiltak har statsråden iverksatt for å bekjempe overgrep mot barn begått av nordmenn i utlandet? 
",Kjell Ingolf Ropstad,Kristelig Folkeparti,2018-05-09,2018-05-09
899,2017-2018,"Mitt spørsmål går også til justisministeren, og det handler også om kriminalitet. 
Jeg er veldig glad for at vi har fått debatten om kriminalitet i Oslo ordentlig på dagsordenen, og jeg tror alle her i salen er klar over hva det nå dreier seg om. Samtidig vil jeg advare mot at det lages en beskrivelse av Oslo som en krigssone, sånn som noen av justisministerens partikollegaer har hatt en tendens til å gjøre i det siste. Det har vært en økning av kriminalitet og vold blant ungdom, men økningen er relativt svak. Det er ikke slik at kriminalitetsbildet har forverret seg, hvis man ser dette i en 15-årsperiode. Det har justisministeren selv sagt. Vi må advare mot å stigmatisere disse bydelene og tegne dem altfor alvorlig. 
Samtidig blir jeg veldig forvirret over måten departementet håndterer politisituasjonen i Oslo på. Den 5. april i år var det oppe et forslag her i Stortinget om å styrke politiressurser i Oslo, konkret med mål om å forebygge gjengkriminalitet og ungdomskriminalitet. Fremskrittspartiet og Høyre stemte ned forslaget. Det endte altså opp med en beslutning fra Stortinget om kun å styrke politiressursene i lensmannsdistriktene. Da sa justisministeren at dette forslaget i så fall ville måtte bety at man må omdisponere betydelige ressurser fra byer og store tettsteder til mindre steder der det skjer lite. 
Mitt spørsmål til justisministeren, når han nå er så bekymret over situasjonen i Oslo, er: Hvorfor stemte han ned - ikke han, men hans partikollegaer - det konkrete forslaget den 5. april om å styrke politiressursene i Oslo med sikte på gjengkriminalitet og ... (presidenten avbryter). 
",Petter Eide,Sosialistisk Venstreparti,2018-05-09,2018-05-09
900,2017-2018,"Mitt spørsmål går også til justis- og beredskapsministeren. 
Justisministeren har ansvaret for mesteparten av beredskapsressursene i sivil sektor. Han har også en samordningsrolle og pådriverrolle når det gjelder samfunnssikkerhet. Mange er nå bekymret for den totale beredskapen i Norge, både innenfor Forsvaret og i sivil sektor. Bekymringene strekker seg fra matvaresikkerhet til sikkerheten knyttet til flom, ras og ulykker. 
I løpet av de siste par årene har nok mye av bekymringene særlig handlet om sentralisering av politiet og beredskapen innenfor helsevesenet. Mange steder i landet føler folk seg mindre trygg enn tidligere. Usikkerheten med tanke på om en får rask hjelp ved ulykker eller ved akutt sykdom, er stor. I distriktene har vi hatt eksempler på at politisentralisering har ført til at politiet enten kommer mange timer for sent til et ulykkessted, eller at de ikke kommer i det hele tatt. I disse dager opplever vi en situasjon der ambulansefly i Nord-Norge blir satt på bakken etter en nærmest skandaløs anbudsrunde. Beredskapsmessig er dette svært alvorlig. Risikoen for at noen ikke får den hjelpen de trenger, er stor. Hvordan ser statsråden på beredskapen for liv og helse i Norge, og særlig på den situasjonen som har oppstått i Nord-Norge, når luftambulansen i perioder i praksis ikke har fungert? 
",Marit Arnstad,Senterpartiet,2018-05-09,2018-05-09
901,2017-2018,"Mitt spørsmål går til justisministeren. 
Under Fremskrittspartiets vakt i Justisdepartementet har det dessverre de to–tre siste årene vært en urovekkende utvikling i det kriminelle gjengmiljøet i Oslo-området. I tillegg til dem vi har kjent fra før, har det kommet til flere og større gjenger som driver økt rekruttering blant meget unge mennesker, og vi har fått flere og flere voldsepisoder, skytinger, knivstikkinger, kidnappinger, trusler og utpressing for store beløp osv. Dette kan selvsagt ha flere årsaker og mye må gjøres. En viktig del er at vi på Stortinget og regjeringen sørger for å gi de rette styringssignaler til politiet. 
I 2013, etter behandlingen av stortingsmeldingen om organisert kriminalitet her, ble det satt opp et hovedmål for politiet om å bekjempe organisert kriminalitet i det som heter tildelingsbrevet, eller marsjordren, til politiet. Det gikk til Politidirektoratet og politidistriktene. Senere, etter den tid, da vi fikk ny regjering, har dette blitt mer og mer fjernet og forsvant inn i uklare, brede formuleringer. Søker vi på tildelingsbrevet, eller marsjordren, til politiet i 2018, står det ikke ett ord om organisert kriminalitet eller kriminelle gjenger. Politiet i Oslo har, når jeg har tatt opp bekymring om ressursbruken og om satsingen på dette feltet, gang på gang vist til at det ikke er det de blir målt på, det er ikke det som etterspørres, selv om de er enig i at dette er et viktig spørsmål. 
Mitt spørsmål til statsråden er: Vil statsråden, for å prioritere dette og sette trykk på dette arbeidet, sørge for å endre hovedmålene i tildelingsbrevet, eller marsjordren, til politiet, slik at de måles på innsatsen mot organisert kriminalitet og kriminelle gjenger og må prioritere dette høyt? 
",Jan Bøhler,Arbeiderpartiet,2018-05-09,2018-05-09
902,2017-2018,"Gjennom behandlingen av årets statsbudsjett ble de såkalte sukkeravgiftene økt med ca. 2 milliarder kroner. I etterkant av dette har mange arbeidsplasser og milliarder i omsetning gått tapt i norsk næringsmiddelindustri.
I lys av fremleggelsen av revidert nasjonalbudsjett, mener statsråden fortsatt at dette grepet var riktig, og er hun villig til å ta selvkritikk på at rammebetingelsene for en viktig næring og dermed tusenvis av arbeidsplasser ble satt på spill nærmest over natten og uten grundig utredning?",Sigbjørn Gjelsvik,Senterpartiet,2018-05-09,2018-05-16
903,2017-2018,"Eg syner til Norges Lastebileier-Forbund, NLF, sine avsløringar om systematisk brot på regelverket for kabotasje og køyre- og kviletid. Statsråden har ansvar for kontroll av yrkestransporten. 
Meiner statsråden kontrollen er god nok når slik kan skje, og vil statsråden lytte til råda frå NLF om strengare krav overfor transportkjøpar, høgre bøtesatsar og meir kontroll langs veg?",Ivar Odnes,Senterpartiet,2018-05-09,2018-05-16
904,2017-2018,"Politiet skal bruke nær 1 million kroner på å flytte den tidligere lensmannen og medarbeideren ved Leka lensmannskontor til Kolvereid i Nærøy. Det vedtatt nedlagte lensmannskontoret må fremdeles betales for, og begge ansatte skal gå av med pensjon om to år. Det fremstår underlig og lite fleksibelt av staten og politiet som arbeidsgiver. 
Mener statsråden at dette er fornuftig bruk av politiets og fellesskapets midler, eller mener statsråden politiet bør gjøre om på avgjørelsen?",Arild Grande,Arbeiderpartiet,2018-05-08,2018-05-23
905,2017-2018,"Å bygge ut dagens lov om kommunale vass- og avløpsanlegg til sektorlov for vanntjenester ('vanntjenestelov') kan være et hensiktsmessig grep for å følge opp de av overvannsutvalgets forslag som sorterer under Klima- og miljødepartementet. Et slikt lovarbeid vil bidra til en mer helhetlig og effektiv statlig styring på vann- og avløpsområdet.
Vil statsråden ta initiativ for å fremskynde arbeidet med en vanntjenestelov?",Ole André Myhrvold,Senterpartiet,2018-05-07,2018-05-16
906,2017-2018,"Sykepleiermangelen har økt med 47 prosent det siste året, ifølge NRK 6. mai 2018. Norsk Sykepleierforbund peker i den samme artikkelen på at mangelen på hele stillinger er en del av problemet.
Hvordan bruker statsråden oppdragsdokumentene til de regionale helseforetakene for å få bukt med deltidskrisen i norsk helsevesen og sørge for nok sykepleiere og andre helsefagarbeidere?",Tuva Moflag,Arbeiderpartiet,2018-05-07,2018-05-16
907,2017-2018,"19 pst. av oljen Norge eksporterer, går til petrokjemisk industri, dvs. plastprodukter. Norge produserte ca. 79 millioner tonn olje i 2017, og 15 millioner tonn årlig går til blant annet plastproduksjon, tilsvarende ca. 50 milliarder kroner i inntekter. Samtidig setter regjeringen av en brøkdel av dette til å rydde opp, mens plastprofitørene håver inn på eksporten. Oljebransjen har på mange måter bidratt til klimakrisen.
Hvordan vil statsråden sørge for at den ikke også fører til økt plastkrise?",Per Espen Stoknes,Miljøpartiet De Grønne,2018-05-03,2018-05-09
908,2017-2018,"Norge har sammen med Island og Liechtenstein sendt en felles kommentar til EU-kommisjonens forslag om å gi EUs finanstilsyn økt myndighet, der man slår fast at forslaget kan 'reise kompliserte forfatningsmessige og politiske spørsmål som er utfordrende å løse'. 
Vil regjeringen gå mot økt suverenitetsoverføring til ESA eller EUs finanstilsyn, og vil et eventuelt vedtak i EU om ytterligere myndighet og oppgaver for EUs finanstilsyn bli lagt frem for Stortinget som egen sak?",Sigbjørn Gjelsvik,Senterpartiet,2018-05-03,2018-05-09
